page	col	index	font	text
49	1	1	AGaramondPro-BoldItalic	ADMINISTRATION OF JUSTICE ADJUS
49	1	2	MyriadPro-Bold	"**  21 INTRODUCTION TO ADMINISTRATION 
"
49	1	3	MyriadPro-Bold	OF JUSTICE3 UNITS
49	1	4	AGaramondPro-Regular	" History and philosophy of administration of justice in 
"
49	1	5	AGaramondPro-Regular	America
49	1	6	MyriadPro-Cond	22705 Lec 9:30-10:45 AM M W Wallace A215 Merritt
49	1	7	MyriadPro-Bold	**  22 CONCEPTS OF CRIMINAL LAW 3 UNITS
49	1	8	AGaramondPro-Regular	" Historical development and philosophy of law and con -
"
49	1	9	AGaramondPro-Regular	stitutional provisions
49	1	10	MyriadPro-SemiboldCond	22706 Lec 6:00-8:50 PM W Oliver ONLINE Merritt
49	1	11	MyriadPro-It	"  Online class. This class has both required online meetings and required online 
"
49	1	12	MyriadPro-It	"learning activities. Students must be available to meet online for the days/
"
49	1	13	MyriadPro-It	"hours listed for this section and log into their course site multiple times a week 
"
49	1	14	MyriadPro-It	"to complete the online learning activities as directed. To access Peralta e-mail 
"
49	1	15	MyriadPro-It	and Canvas, please visit https://web.peralta.edu/portal/.
49	1	16	MyriadPro-Bold	"**  23 PRINCIPLES AND PROCEDURES OF 
"
49	1	17	MyriadPro-Bold	THE JUSTICE SYSTEM3 UNITS
49	1	18	AGaramondPro-Regular	" Study of the role and responsibilities of each segment 
"
49	1	19	AGaramondPro-Regular	within the administration of justice system
49	1	20	MyriadPro-Cond	"22459 Lec 11:00-12:15 PM M W Wallace A215 Merritt
"
49	1	21	MyriadPro-Cond	23809 Lec 1:25-2:40 PM W F Oliver -OTHS Merritt
49	1	22	MyriadPro-It	  Dual enrollment for Oakland Tech High School students.
49	1	23	MyriadPro-Bold	*  24 LEGAL ASPECTS OF EVIDENCE 3 UNITS
49	1	24	AGaramondPro-Regular	" Origin, development, philosophy and constitutional basis 
"
49	1	25	AGaramondPro-Regular	of evidence
49	1	26	MyriadPro-Cond	23213 Lec    Wallace ONLINE Merritt
49	1	27	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
49	1	28	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
49	1	29	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
49	1	30	MyriadPro-It	edu/portal/.
49	1	31	MyriadPro-Bold	**  25 COMMUNITY RELATIONS 3 UNITS
49	1	32	AGaramondPro-Regular	" Survey of relationship between the criminal justice system 
"
49	1	33	AGaramondPro-Regular	and the community
49	1	34	MyriadPro-Cond	23214 Lec 12:30-1:45 PM M W Wallace A215 Merritt
49	1	35	MyriadPro-SemiboldCond	23215 Lec 6:00-8:50 PM M Oliver ONLINE Merritt
49	1	36	MyriadPro-It	"  Online class. This class has both required online meetings and required online 
"
49	1	37	MyriadPro-It	"learning activities. Students must be available to meet online for the days/
"
49	1	38	MyriadPro-It	"hours listed for this section and log into their course site multiple times a week 
"
49	1	39	MyriadPro-It	"to complete the online learning activities as directed. To access Peralta e-mail 
"
49	1	40	MyriadPro-It	and Canvas, please visit https://web.peralta.edu/portal/.
49	1	41	MyriadPro-Bold	*  51 JUVENILE LAW AND PROCEDURES 3 UNITS
49	1	42	AGaramondPro-Regular	" The history and philosophy of juvenile law and procedures 
"
49	1	43	AGaramondPro-Regular	in America
49	1	44	MyriadPro-Cond	22707 Lec 9:30-10:45 AM T Th  Staff A215 Merritt
49	1	45	MyriadPro-Bold	**  63 INTRODUCTION TO CORRECTIONS 3 UNITS
49	1	46	AGaramondPro-Regular	" Philosophy and history of corrections from historical and 
"
49	1	47	AGaramondPro-Regular	theoretical point of view
49	1	48	MyriadPro-Cond	23216 Lec 11:00-12:15 PM T Th  Staff A215 Merritt
49	1	49	MyriadPro-Bold	"  70 INTRODUCTION TO HOMELAND 
"
49	1	50	MyriadPro-Bold	SECURITY3 UNITS
49	1	51	AGaramondPro-Regular	 History and philosophy of homeland security
49	1	52	MyriadPro-Cond	22520 Lec    Wallace ONLINE Merritt
49	1	53	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
49	1	54	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
49	1	55	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
49	1	56	MyriadPro-It	edu/portal/.
49	2	57	AGaramondPro-BoldItalic	AFRICAN-AMERICAN STUDIES AFRAM
49	2	58	MyriadPro-Bold	"**  4 THE BLACK PANTHER PARTY: 
"
49	2	59	MyriadPro-Bold	"STRATEGIES ON ORGANIZING THE 
"
49	2	60	MyriadPro-Bold	PEOPLE3 UNITS
49	2	61	AGaramondPro-Regular	 In-depth examination of the Black Panther Party
49	2	62	MyriadPro-Cond	22792 Lec 9:30-11:10 AM T Th  Martinez A206 Merritt
49	2	63	MyriadPro-Bold	"**  5 THE AFRICAN AMERICAN FAMILY IN 
"
49	2	64	MyriadPro-Bold	THE UNITED STATES3 UNITS
49	2	65	AGaramondPro-Regular	 History related to the formation of the black family
49	2	66	MyriadPro-Cond	23754 Lec 12:30-1:45 PM T Th  Seals -OTHS Merritt
49	2	67	MyriadPro-It	  Dual enrollment for Oakland Tech High School students.
49	2	68	MyriadPro-Bold	"**  12 PSYCHOLOGY OF AFRICAN-
"
49	2	69	MyriadPro-Bold	AMERICANS3 UNITS
49	2	70	AGaramondPro-Regular	" Principles of psychology as they relate to the African-
"
49	2	71	AGaramondPro-Regular	American community
49	2	72	MyriadPro-Cond	22544 Lec    Seals ONLINE Merritt
49	2	73	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
49	2	74	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
49	2	75	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
49	2	76	MyriadPro-It	edu/portal/.
49	2	77	MyriadPro-Bold	"**  14A SOCIAL PSYCHOLOGY OF AFRICAN 
"
49	2	78	MyriadPro-Bold	"AMERICAN MALE/FEMALE 
"
49	2	79	MyriadPro-Bold	RELATIONSHIPS3 UNITS
49	2	80	AGaramondPro-Regular	" Exploration of the dynamics of African American male-
"
49	2	81	AGaramondPro-Regular	female relationships
49	2	82	MyriadPro-Cond	22501 Lec 11:00-12:40 PM M W Seals A206 Merritt
49	2	83	MyriadPro-Bold	**  19 RACISM IN THE UNITED STATES 3 UNITS
49	2	84	AGaramondPro-Regular	" Exploration of the development of modern racism in the 
"
49	2	85	AGaramondPro-Regular	United States
49	2	86	MyriadPro-Cond	22555 Lec    Martinez ONLINE Merritt
49	2	87	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
49	2	88	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
49	2	89	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
49	2	90	MyriadPro-It	edu/portal/.
49	2	91	MyriadPro-Bold	**  25 CLASSICAL AFRICAN CIVILIZATIONS 3 UNITS
49	2	92	AGaramondPro-Regular	" History, development, and contributions of classical Af -
"
49	2	93	AGaramondPro-Regular	"rican civilizations of the Nile River Valley (Kush, Nubia, 
"
49	2	94	AGaramondPro-Regular	Egypt)
49	2	95	MyriadPro-Cond	22424 Lec    Seals ONLINE Merritt
49	2	96	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
49	2	97	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
49	2	98	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
49	2	99	MyriadPro-It	edu/portal/.
49	2	100	MyriadPro-Bold	"**  30 AFRICAN-AMERICAN HISTORY: 
"
49	2	101	MyriadPro-Bold	AFRICA TO 18653 UNITS
49	2	102	AGaramondPro-Regular	" Survey of the experience of African-Americans from their 
"
49	2	103	AGaramondPro-Regular	origins to the end of the Civil War
49	2	104	MyriadPro-SemiboldCond	22545 Lec 6:00-8:50 PM M Seals A206 Merritt
49	2	105	MyriadPro-Bold	"**  31 AFRICAN-AMERICAN HISTORY: 1865 
"
49	2	106	MyriadPro-Bold	TO 19453 UNITS
49	2	107	AGaramondPro-Regular	" Survey of the experience of African-Americans in the 
"
49	2	108	AGaramondPro-Regular	United States from 1865 to 1945
49	2	109	MyriadPro-Cond	22327 Lec    Martinez ONLINE Merritt
49	2	110	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
49	2	111	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
49	2	112	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
49	2	113	MyriadPro-It	edu/portal/.
49	2	114	MyriadPro-Cond	22365 Lec 9:30-10:45 AM M W Seals A206 Merritt
50	1	1	MyriadPro-Bold	**  39 BLACK WORLD FILMS 3 UNITS
50	1	2	AGaramondPro-Regular	" Examination of the image of African Americans in Hol -
"
50	1	3	AGaramondPro-Regular	lywood films past and present
50	1	4	MyriadPro-Cond	22380 Lec    Martinez ONLINE Merritt
50	1	5	MyriadPro-It	"  Online class. This class has no required online meetings. Students are expected 
"
50	1	6	MyriadPro-It	"to log into their course multiple times a week and complete learning activities as 
"
50	1	7	MyriadPro-It	"directed. To access Peralta e-mail and Canvas, please visit https://web.peralta.
"
50	1	8	MyriadPro-It	edu/portal/.
