page	col	index	font	text
49	1	1	AGaramondPro-BoldItalic	AFRICAN-AMERICAN STUDIES AFRAM
49	1	2	MyriadPro-Bold	"**  33 THE ROOTS OF AFRICAN-AMERICAN 
"
49	1	3	MyriadPro-Bold	CUL TURE3 UNITS
49	1	4	AGaramondPro-Regular	 Historical dimensions of the African-American experience
49	1	5	MyriadPro-Cond	20312 Lec    Crutison HYBRID Berkeley
49	1	6	MyriadPro-It	"  14 week class, begins Tues, 2/13/24.  This is a Hybrid Class:  TTh, 11:00 a.m. - 
"
49	1	7	MyriadPro-It	"12:15 p.m., BCC 54, + addt'l hrs/wk online.  This class has both required in-person 
"
49	1	8	MyriadPro-It	"meetings and required online meetings.  Students must be available to meet 
"
49	1	9	MyriadPro-It	"in-person for the days/hours listed for this section and may be required to log 
"
49	1	10	MyriadPro-It	"into their course site multiple times a week to complete the online learning 
"
49	1	11	MyriadPro-It	"activities as directed.  To access Peralta e-mail and Canvas, please visit https://
"
49	1	12	MyriadPro-It	web.peralta.edu/portal/.
49	1	13	MyriadPro-Cond	20312 Lec 11:00-12:15 PM T Th  Crutison BCC54 Berkeley
49	1	14	MyriadPro-It	"  14 week class, begins Tues, 2/13/24.  This is a Hybrid Class:  TTh, 11:00 a.m. - 
"
49	1	15	MyriadPro-It	"12:15 p.m., BCC 54, + addt'l hrs/wk online.  This class has both required in-person 
"
49	1	16	MyriadPro-It	"meetings and required online meetings.  Students must be available to meet 
"
49	1	17	MyriadPro-It	"in-person for the days/hours listed for this section and may be required to log 
"
49	1	18	MyriadPro-It	"into their course site multiple times a week to complete the online learning 
"
49	1	19	MyriadPro-It	"activities as directed.  To access Peralta e-mail and Canvas, please visit https://
"
49	1	20	MyriadPro-It	web.peralta.edu/portal/.
49	1	21	AGaramondPro-BoldItalic	AMERICAN SIGN LANGUAGE ASL
49	1	22	MyriadPro-Bold	**  50 AMERICAN SIGN LANGUAGE I 4 UNITS
49	1	23	AGaramondPro-Regular	 Introduction to American Sign Language
49	1	24	MyriadPro-Cond	20021 Lab 11:00-12:15 PM M W Gough ONLINE Berkeley
49	1	25	MyriadPro-It	"  This is an Online Class:  This class has both required online meetings and 
"
49	1	26	MyriadPro-It	"required online learning activities.  Students must be available to meet online 
"
49	1	27	MyriadPro-It	"for the days/hours listed for this section and log into their course site multiple 
"
49	1	28	MyriadPro-It	"times a week to complete the online learning activities as directed.  To access 
"
49	1	29	MyriadPro-It	Peralta e-mail and Canvas, please visit https://web.peralta.edu/portal/.
49	1	30	MyriadPro-Cond	"  Lec 9:30-10:45 AM M W Gough ONLINE Berkeley
"
49	1	31	MyriadPro-Cond	20023 Lab    Gough ONLINE Berkeley
49	1	32	MyriadPro-It	"  This is an Online Class. Lec.  MW  6:00 p.m. - 7:15 p.m. online; Lab  3 hrs/wk on -
"
49	1	33	MyriadPro-It	"line.  This class has both required online meetings and required online learning 
"
49	1	34	MyriadPro-It	"activities.  Students must be available to meet online for the days/hours listed 
"
49	1	35	MyriadPro-It	"for this section and log into their course site multiple times a week to complete 
"
49	1	36	MyriadPro-It	"the online learning activities as directed.  To access Peralta e-mail and Canvas, 
"
49	1	37	MyriadPro-It	please visit https://web.peralta.edu/portal/
49	1	38	MyriadPro-SemiboldCond	  Lec 6:00-7:15 PM M W Gough ONLINE Berkeley
49	1	39	MyriadPro-Bold	"**  50A AMERICAN SIGN LANGUAGE I 
"
49	1	40	MyriadPro-Bold	(MODULE A)2 UNITS
49	1	41	AGaramondPro-Regular	 Introduction to American Sign Language
49	1	42	MyriadPro-Cond	20027 Lab 11:00-12:15 PM M W Gough ONLINE Berkeley
49	1	43	MyriadPro-It	"  This is an Online Class:  This class has both required online meetings and 
"
49	1	44	MyriadPro-It	"required online learning activities.  Students must be available to meet online 
"
49	1	45	MyriadPro-It	"for the days/hours listed for this section and log into their course site multiple 
"
49	1	46	MyriadPro-It	"times a week to complete the online learning activities as directed.  To access 
"
49	1	47	MyriadPro-It	"Peralta e-mail and Canvas, please visit https://web.peralta.edu/portal/.  See 
"
49	1	48	MyriadPro-It	ASL Department to enroll.
49	1	49	MyriadPro-Cond	"  Lec 9:30-10:45 AM M W Gough ONLINE Berkeley
"
49	1	50	MyriadPro-Cond	20043 Lab    Gough ONLINE Berkeley
49	1	51	MyriadPro-It	"  This is an Online Class. Lec.  MW  6:00 p.m. - 7:15 p.m. online; Lab  3 hrs/wk on -
"
49	1	52	MyriadPro-It	"line.  This class has both required online meetings and required online learning 
"
49	1	53	MyriadPro-It	"activities.  Students must be available to meet online for the days/hours listed 
"
