page	col	index	font	text
45	1	1	AGaramondPro-BoldItalic	AFRICAN-AMERICAN STUDIES AFRAM
45	1	2	MyriadPro-Bold	  8 AFRICAN AMERICAN POLITICS 3 UNITS
45	1	3	AGaramondPro-Regular	" Analysis and understanding of major trends and develop -
"
45	1	4	AGaramondPro-Regular	ments in the politics of African-Americans
45	1	5	MyriadPro-Regular	23313 Lec   Campbell 
45	1	6	MyriadPro-Cond	ONLINE
45	1	7	MyriadPro-Regular	 Alameda
45	1	8	MyriadPro-It	"  05/28/2023-06/15/2023 Spring Intersession Course. This class is 100% online 
"
45	1	9	MyriadPro-It	"with no mandatory scheduled Zoom meetings. Instruction will be provided 
"
45	1	10	MyriadPro-It	"through the college learning management system Canvas and Zoom software. 
"
45	1	11	MyriadPro-It	"On the course start date, log into Canvas to begin. Please contact instructor at 
"
45	1	12	MyriadPro-It	"jcampbell@peralta.edu for more information. All instructions and communica -
"
45	1	13	MyriadPro-It	"tions for this class will be sent to Peralta student email accounts. To access your 
"
45	1	14	MyriadPro-It	"student email account, go to www.peralta.edu and click on ""For Students"" on 
"
45	1	15	MyriadPro-It	"the left side. Then select ""Student Email"" ."
45	1	16	MyriadPro-Bold	"  18 AFRICAN HERITAGE OF LATIN 
"
45	1	17	MyriadPro-Bold	AMERICA3 UNITS
45	1	18	AGaramondPro-Regular	" Survey of the influence of African people throughout 
"
45	1	19	AGaramondPro-Regular	Latin America
45	1	20	MyriadPro-Regular	23870 Lec 1:45-3:00 PM T Th  Walker -LAHS Alameda
45	1	21	MyriadPro-It	"  Dual Enrollment Class at Life Academy High School in Oakland. This class is 
"
45	1	22	MyriadPro-It	"on-campus and meets physically in-person on TTH 1:45-3:00pm. Please Contact 
"
45	1	23	MyriadPro-It	"instructor at hwalker@peralta.edu for more information. Canvas usage or other 
"
45	1	24	MyriadPro-It	digital learning tools may apply.
45	1	25	MyriadPro-Bold	"**  30 AFRICAN-AMERICAN HISTORY: 
"
45	1	26	MyriadPro-Bold	AFRICA TO 18653 UNITS
45	1	27	AGaramondPro-Regular	" Survey of the experience of African-Americans from their 
"
45	1	28	AGaramondPro-Regular	origins to the end of the Civil War
45	1	29	MyriadPro-Regular	20980 Lec   Campbell 
45	1	30	MyriadPro-Cond	ONLINE
45	1	31	MyriadPro-Regular	 Alameda
45	1	32	MyriadPro-It	"  This class is 100% online with no mandatory scheduled Zoom meetings. 
"
45	1	33	MyriadPro-It	"Instruction will be provided through the college learning management system 
"
45	1	34	MyriadPro-It	"Canvas and Zoom software. On the course start date, log into Canvas to begin. 
"
45	1	35	MyriadPro-It	"Please contact instructor at jcampbell@peralta.edu for more information. All 
"
45	1	36	MyriadPro-It	"instructions and communications for this class will be sent to Peralta student 
"
45	1	37	MyriadPro-It	"email accounts. To access your student email account, go to www.peralta.edu 
"
45	1	38	MyriadPro-It	"and click on ""For Students"" on the left side. Then select ""Student Email"" ."
45	1	39	MyriadPro-Bold	"**  31 AFRICAN-AMERICAN HISTORY: 1865 
"
45	1	40	MyriadPro-Bold	TO 19453 UNITS
45	1	41	AGaramondPro-Regular	" Survey of the experience of African-Americans in the 
"
45	1	42	AGaramondPro-Regular	United States from 1865 to 1945
45	1	43	MyriadPro-Regular	23018 Lec   Walker ONLINE Alameda
45	1	44	MyriadPro-It	"  02/12/2024-05/25/2024 This class is 100% online with no mandatory sched -
"
45	1	45	MyriadPro-It	"uled Zoom meetings. Instruction will be provided through the college learning 
"
45	1	46	MyriadPro-It	"management system Canvas and Zoom software. On the course start date, 
"
45	1	47	MyriadPro-It	"log into Canvas to begin. Please contact instructor at hwalker@peralta.edu for 
"
45	1	48	MyriadPro-It	"more information. All instructions and communications for this class will be 
"
45	1	49	MyriadPro-It	"sent to Peralta student email accounts. To access your student email account, 
"
45	1	50	MyriadPro-It	"go to www.peralta.edu and click on ""For Students"" on the left side. Then select 
"
45	1	51	MyriadPro-It	"""Student Email"" ."
45	1	52	AGaramondPro-BoldItalic	ANTHROPOLOGY ANTHR
45	1	53	MyriadPro-Bold	"**  1 INTRODUCTION TO PHYSICAL 
"
45	1	54	MyriadPro-Bold	ANTHROPOLOGY3 UNITS
45	1	55	AGaramondPro-Regular	 Study of human beings and their ancestors
45	1	56	MyriadPro-Regular	20610 Lec   Smithson 
45	1	57	MyriadPro-Cond	ONLINE
45	1	58	MyriadPro-Regular	 Alameda
45	1	59	MyriadPro-It	"  This class is 100% online with no mandatory scheduled Zoom meetings. Instruc -
"
45	1	60	MyriadPro-It	"tion will be provided through the college learning management system Canvas 
"
45	1	61	MyriadPro-It	"and Zoom software. On the course start date, log into Canvas to begin. Please 
"
45	1	62	MyriadPro-It	"contact instructor at jsmithson@peralta.edu for more information. All instruc -
"
45	1	63	MyriadPro-It	"tions and communications for this class will be sent to Peralta student email 
"
45	1	64	MyriadPro-It	"accounts. To access your student email account, go to www.peralta.edu and 
"
45	1	65	MyriadPro-It	"click on ""For Students"" on the left side. Then select ""Student Email"" . Cost Cutter 
"
45	1	66	MyriadPro-It	"Alert: This course section uses only zero-cost course materials. Course materials 
"
45	1	67	MyriadPro-It	"are provided digitally free of charge. Printed materials are sometimes available 
"
45	1	68	MyriadPro-It	for purchase.
45	1	69	MyriadPro-Regular	20752 Lec   Buyagawan 
45	1	70	MyriadPro-Cond	ONLINE
45	1	71	MyriadPro-Regular	 Alameda
45	2	72	MyriadPro-It	"  This class is 100% online with no mandatory scheduled Zoom meetings. 
"
45	2	73	MyriadPro-It	"Instruction will be provided through the college learning management system 
"
45	2	74	MyriadPro-It	"Canvas and Zoom software. On the course start date, log into Canvas to begin. 
"
45	2	75	MyriadPro-It	"Please contact instructor at nbuyagawan@peralta.edu for more information. 
"
45	2	76	MyriadPro-It	"All instructions and communications for this class will be sent to Peralta student 
"
45	2	77	MyriadPro-It	"email accounts. To access your student email account, go to www.peralta.edu 
"
45	2	78	MyriadPro-It	"and click on ""For Students"" on the left side. Then select ""Student Email"" . Cost 
"
45	2	79	MyriadPro-It	"Cutter Alert: This course section uses only zero-cost course materials. Course 
"
45	2	80	MyriadPro-It	"materials are provided digitally free of charge. Printed materials are sometimes 
"
45	2	81	MyriadPro-It	available for purchase.
45	2	82	MyriadPro-Regular	20774 Lec   Smithson 
45	2	83	MyriadPro-Cond	HYBRID
45	2	84	MyriadPro-Regular	 Alameda
45	2	85	MyriadPro-It	"  02/12/2024-05/25/2024 This class is partially online with scheduled on-campus 
"
45	2	86	MyriadPro-It	"meetings on Mondays 9:30-10:45am, with the remaining instruction hours 
"
45	2	87	MyriadPro-It	"asynchronous online. Instruction will be provided through the college learning 
"
45	2	88	MyriadPro-It	"management system Canvas and Zoom software. On the course start date, log 
"
45	2	89	MyriadPro-It	"into Canvas to begin. Please contact instructor at jsmithson@peralta.edu for 
"
45	2	90	MyriadPro-It	"more information. All instructions and communications for this class will be 
"
45	2	91	MyriadPro-It	"sent to Peralta student email accounts. To access your student email account, 
"
45	2	92	MyriadPro-It	"go to www.peralta.edu and click on ""For Students"" on the left side. Then select 
"
45	2	93	MyriadPro-It	"""Student Email"" . Cost Cutter Alert: This course section uses only zero-cost course 
"
45	2	94	MyriadPro-It	"materials. Course materials are provided digitally free of charge. Printed materi -
"
45	2	95	MyriadPro-It	als are sometimes available for purchase.
45	2	96	MyriadPro-Regular	20774 Lec 9:30-10:45 AM M Smithson D115 Alameda
45	2	97	MyriadPro-It	"  02/12/2024-05/25/2024 This class is partially online with scheduled on-campus 
"
45	2	98	MyriadPro-It	"meetings on Mondays 9:30-10:45am, with the remaining instruction hours 
"
45	2	99	MyriadPro-It	"asynchronous online. Instruction will be provided through the college learning 
"
45	2	100	MyriadPro-It	"management system Canvas and Zoom software. On the course start date, log 
"
45	2	101	MyriadPro-It	"into Canvas to begin. Please contact instructor at jsmithson@peralta.edu for 
"
45	2	102	MyriadPro-It	"more information. All instructions and communications for this class will be 
"
45	2	103	MyriadPro-It	"sent to Peralta student email accounts. To access your student email account, 
"
45	2	104	MyriadPro-It	"go to www.peralta.edu and click on ""For Students"" on the left side. Then select 
"
45	2	105	MyriadPro-It	"""Student Email"" . Cost Cutter Alert: This course section uses only zero-cost course 
"
45	2	106	MyriadPro-It	"materials. Course materials are provided digitally free of charge. Printed materi -
"
45	2	107	MyriadPro-It	als are sometimes available for purchase.
45	2	108	MyriadPro-Regular	20777 Lec   Smithson 
45	2	109	MyriadPro-Cond	HYBRID
45	2	110	MyriadPro-Regular	 Alameda
45	2	111	MyriadPro-It	"  02/12/2024-05/25/2024 This class is partially online with scheduled on-campus 
"
45	2	112	MyriadPro-It	"meetings on Tuesdays 9:30-10:45am, with the remaining instruction hours 
"
45	2	113	MyriadPro-It	"asynchronous online. Instruction will be provided through the college learning 
"
45	2	114	MyriadPro-It	"management system Canvas and Zoom software. On the course start date, log 
"
45	2	115	MyriadPro-It	"into Canvas to begin. Please contact instructor at jsmithson@peralta.edu for 
"
45	2	116	MyriadPro-It	"more information. All instructions and communications for this class will be 
"
45	2	117	MyriadPro-It	"sent to Peralta student email accounts. To access your student email account, 
"
45	2	118	MyriadPro-It	"go to www.peralta.edu and click on ""For Students"" on the left side. Then select 
"
45	2	119	MyriadPro-It	"""Student Email"" . Cost Cutter Alert: This course section uses only zero-cost course 
"
45	2	120	MyriadPro-It	"materials. Course materials are provided digitally free of charge. Printed materi -
"
45	2	121	MyriadPro-It	als are sometimes available for purchase.
45	2	122	MyriadPro-Regular	20777 Lec 9:30-10:45 AM T Smithson D115 Alameda
45	2	123	MyriadPro-It	"  02/12/2024-05/25/2024 This class is partially online with scheduled on-campus 
"
45	2	124	MyriadPro-It	"meetings on Tuesdays 9:30-10:45am, with the remaining instruction hours 
"
45	2	125	MyriadPro-It	"asynchronous online. Instruction will be provided through the college learning 
"
45	2	126	MyriadPro-It	"management system Canvas and Zoom software. On the course start date, log 
"
45	2	127	MyriadPro-It	"into Canvas to begin. Please contact instructor at jsmithson@peralta.edu for 
"
45	2	128	MyriadPro-It	"more information. All instructions and communications for this class will be 
"
45	2	129	MyriadPro-It	"sent to Peralta student email accounts. To access your student email account, 
"
45	2	130	MyriadPro-It	"go to www.peralta.edu and click on ""For Students"" on the left side. Then select 
"
45	2	131	MyriadPro-It	"""Student Email"" . Cost Cutter Alert: This course section uses only zero-cost course 
"
45	2	132	MyriadPro-It	"materials. Course materials are provided digitally free of charge. Printed materi -
"
45	2	133	MyriadPro-It	als are sometimes available for purchase.
45	2	134	MyriadPro-Regular	23305 Lec   Buyagawan 
45	2	135	MyriadPro-Cond	ONLINE
45	2	136	MyriadPro-Regular	 Alameda
45	2	137	MyriadPro-It	"  05/28/2023-06/15/2023 Spring Intersession Course. This class is 100% online 
"
45	2	138	MyriadPro-It	"with no mandatory scheduled Zoom meetings. Instruction will be provided 
"
45	2	139	MyriadPro-It	"through the college learning management system Canvas and Zoom software. 
"
45	2	140	MyriadPro-It	"On the course start date, log into Canvas to begin. Please contact instructor at 
"
45	2	141	MyriadPro-It	"nbuyagawan@peralta.edu for more information. All instructions and commu -
"
45	2	142	MyriadPro-It	"nications for this class will be sent to Peralta student email accounts. To access 
"
45	2	143	MyriadPro-It	"your student email account, go to www.peralta.edu and click on ""For Students"" 
"
45	2	144	MyriadPro-It	"on the left side. Then select ""Student Email"" ."
45	2	145	MyriadPro-Bold	"**  1L PHYSICAL ANTHROPOLOGY 
"
45	2	146	MyriadPro-Bold	LABORATORY1 UNIT
45	2	147	AGaramondPro-Regular	 Adjunct laboratory to ANTHR 1
45	2	148	MyriadPro-Regular	" PREREQUISITE OR COREQUISITE: ANTHR 1
"
45	2	149	MyriadPro-Regular	20778 Lab   Smithson 
45	2	150	MyriadPro-Cond	ONLINE
45	2	151	MyriadPro-Regular	 Alameda
45	2	152	MyriadPro-It	  02/12/2024-05/25/2024 This class is 100% online with required, regularly sched -
46	1	1	MyriadPro-It	"hours asynchronous online. Instruction will be provided through the college 
"
46	1	2	MyriadPro-It	"learning management system Canvas and Zoom software. On the course start 
"
46	1	3	MyriadPro-It	"date, log into Canvas to begin. Please contact instructor at jsmithson@peralta.
"
46	1	4	MyriadPro-It	"edu for more information. All instructions and communications for this class 
"
46	1	5	MyriadPro-It	"will be sent to Peralta student email accounts. To access your student email ac -
"
46	1	6	MyriadPro-It	"count, go to www.peralta.edu and click on ""For Students"" on the left side. Then 
"
46	1	7	MyriadPro-It	"select ""Student Email"" . Cost Cutter Alert: This course section uses only zero-cost 
"
46	1	8	MyriadPro-It	"course materials. Course materials are provided digitally free of charge. Printed 
"
46	1	9	MyriadPro-It	materials are sometimes available for purchase.
46	1	10	MyriadPro-Regular	20778 Lab 11:00-12:50 PM F Smithson 
46	1	11	MyriadPro-Cond	ONLINE
46	1	12	MyriadPro-Regular	 Alameda
46	1	13	MyriadPro-It	"  02/12/2024-05/25/2024 This class is 100% online with required, regularly sched -
"
46	1	14	MyriadPro-It	"uled Zoom meetings on Fridays 11:00-12:50pm, with the remaining instruction 
"
46	1	15	MyriadPro-It	"hours asynchronous online. Instruction will be provided through the college 
"
46	1	16	MyriadPro-It	"learning management system Canvas and Zoom software. On the course start 
"
46	1	17	MyriadPro-It	"date, log into Canvas to begin. Please contact instructor at jsmithson@peralta.
"
46	1	18	MyriadPro-It	"edu for more information. All instructions and communications for this class 
"
46	1	19	MyriadPro-It	"will be sent to Peralta student email accounts. To access your student email ac -
"
46	1	20	MyriadPro-It	"count, go to www.peralta.edu and click on ""For Students"" on the left side. Then 
"
46	1	21	MyriadPro-It	"select ""Student Email"" . Cost Cutter Alert: This course section uses only zero-cost 
"
46	1	22	MyriadPro-It	"course materials. Course materials are provided digitally free of charge. Printed 
"
46	1	23	MyriadPro-It	materials are sometimes available for purchase.
46	1	24	MyriadPro-Regular	20989 Lab   Smithson 
46	1	25	MyriadPro-Cond	ONLINE
46	1	26	MyriadPro-Regular	 Alameda
46	1	27	MyriadPro-It	"  This class is 100% online with no mandatory scheduled Zoom meetings. Instruc -
"
46	1	28	MyriadPro-It	"tion will be provided through the college learning management system Canvas 
"
46	1	29	MyriadPro-It	"and Zoom software. On the course start date, log into Canvas to begin. Please 
"
46	1	30	MyriadPro-It	"contact instructor at jsmithson@peralta.edu for more information. All instruc -
"
46	1	31	MyriadPro-It	"tions and communications for this class will be sent to Peralta student email 
"
46	1	32	MyriadPro-It	"accounts. To access your student email account, go to www.peralta.edu and 
"
46	1	33	MyriadPro-It	"click on ""For Students"" on the left side. Then select ""Student Email"" . Cost Cutter 
"
46	1	34	MyriadPro-It	"Alert: This course section uses only zero-cost course materials. Course materials 
"
46	1	35	MyriadPro-It	"are provided digitally free of charge. Printed materials are sometimes available 
"
46	1	36	MyriadPro-It	for purchase.
46	1	37	MyriadPro-Bold	"**  3 INTRODUCTION TO SOCIAL AND 
"
46	1	38	MyriadPro-Bold	CUL TURAL ANTHROPOLOGY3 UNITS
46	1	39	AGaramondPro-Regular	" Cross-cultural analysis of social and cultural factors of 
"
46	1	40	AGaramondPro-Regular	human behavior in the recent past and present
46	1	41	MyriadPro-Regular	20779 Lec   Leitner ONLINE Alameda
