page	col	index	font	text
52	1	1	AGaramondPro-BoldItalic	AFRICAN-AMERICAN STUDIES AFRAM
52	1	2	MyriadPro-Bold	"**  1 INTRODUCTION TO AFRICAN 
"
52	1	3	MyriadPro-Bold	AMERICAN STUDIES3 UNITS
52	1	4	AGaramondPro-Regular	 Overview of the field of African Amerian Studies
52	1	5	MyriadPro-Cond	21383 Lec    Grisby ONLINE Laney
52	1	6	MyriadPro-It	"  This class is a fully online course with no required on-campus or Zoom meetings.  
"
52	1	7	MyriadPro-It	"All instruction will be provided via the internet through the college learning 
"
52	1	8	MyriadPro-It	"management system Canvas. Under the days and times column, the schedule 
"
52	1	9	MyriadPro-It	"for this course reads “to be announced (TBA)” but there will NOT be any meet -
"
52	1	10	MyriadPro-It	"ings announced.Classes you are registered for will appear in Canvas on the 
"
52	1	11	MyriadPro-It	"first day of class unless published earlier by your instructor. Questions? Contact 
"
52	1	12	MyriadPro-It	"your instructor at dgrisby@peralta.edu.All instructions and communications for 
"
52	1	13	MyriadPro-It	"this class will be sent to Peralta student email accounts. To access your student 
"
52	1	14	MyriadPro-It	"email account, go to www.peralta.edu and click on ""For Students"" on the left 
"
52	1	15	MyriadPro-It	"side. Then select ""Student Email” ."
52	1	16	MyriadPro-Cond	22112 Lec    Grisby ONLINE Laney
52	1	17	MyriadPro-It	"  This class is a fully online course with no required on-campus or Zoom meetings.  
"
52	1	18	MyriadPro-It	"All instruction will be provided via the internet through the college learning 
"
52	1	19	MyriadPro-It	"management system Canvas. Under the days and times column, the schedule 
"
52	1	20	MyriadPro-It	"for this course reads “to be announced (TBA)” but there will NOT be any meet -
"
52	1	21	MyriadPro-It	"ings announced.Classes you are registered for will appear in Canvas on the 
"
52	1	22	MyriadPro-It	"first day of class unless published earlier by your instructor. Questions? Contact 
"
52	1	23	MyriadPro-It	"your instructor at dgrisby@peralta.edu.All instructions and communications for 
"
52	1	24	MyriadPro-It	"this class will be sent to Peralta student email accounts. To access your student 
"
52	1	25	MyriadPro-It	"email account, go to www.peralta.edu and click on ""For Students"" on the left 
"
52	1	26	MyriadPro-It	"side. Then select ""Student Email” ."
52	1	27	MyriadPro-Bold	**  2 BLACK ECONOMICS 3 UNITS
52	1	28	AGaramondPro-Regular	" Concentration on those areas of the U.S. economy that 
"
52	1	29	AGaramondPro-Regular	affect African Americans the most
52	1	30	MyriadPro-Cond	23879 Lec 9:00-10:15 AM T Th  Crutison  Laney
52	1	31	MyriadPro-It	"  Note: This class will be on the Laney campus at the times and in the location 
"
52	1	32	MyriadPro-It	"listed. All Laney buildings begin with L in the schedule.Classes you are registered 
"
52	1	33	MyriadPro-It	"for will appear in the Canvas course management system on the first day of class 
"
